request_id,function_label,phase,timestamp_sent,timestamp_received,latency_ms,http_status,lambda_request_id,error,response_snippet,execution_ms,memory_used_mb,cost_usd
111,exp1-java-arm,warmup,1777022553.367058,1777022553.64902,281.96191787719727,200,2f893525-5f8b-4b9b-a956-59e5484340be,,,241.380,162.125,0.0000053160
27,exp1-java-arm,warmup,1777022549.1668391,1777022553.653915,4487.0758056640625,200,b9205064-f90b-4608-bc2a-b1afc9f10fc1,,,270.620,164.032,0.0000059530
38,exp1-java-arm,warmup,1777022549.7163699,1777022553.6809359,3964.5659923553467,200,77f90208-467a-49d3-a15d-dc4eff37ab11,,,222.350,164.032,0.0000048986
112,exp1-java-arm,warmup,1777022553.416975,1777022553.6846662,267.69113540649414,200,6c817e8f-0cf2-451e-a140-493c38fe840c,,,227.250,161.171,0.0000050085
34,exp1-java-arm,warmup,1777022549.516955,1777022553.706512,4189.557075500488,200,be966c8b-347e-418c-a2ee-38b961558f98,,,209.280,162.125,0.0000046131
113,exp1-java-arm,warmup,1777022553.4656792,1777022553.709068,243.38889122009277,200,17e21074-d8e2-42e5-b39a-85ca3d7920cb,,,208.420,165.939,0.0000045911
114,exp1-java-arm,warmup,1777022553.516088,1777022553.767819,251.73091888427734,200,d472b826-70f2-453d-b985-b46814f0bec0,,,215.440,164.032,0.0000047449
115,exp1-java-arm,warmup,1777022553.565388,1777022553.7990232,233.63518714904785,200,9a529489-3fe6-46c4-a536-592dd5efb809,,,195.880,164.032,0.0000043055
116,exp1-java-arm,warmup,1777022553.616909,1777022553.899449,282.54008293151855,200,a06454a7-b2e9-473c-80fd-a939fa5af86c,,,248.420,164.032,0.0000054698
45,exp1-java-arm,warmup,1777022550.067106,1777022553.903188,3836.0819816589355,200,f02982ed-2ad4-4704-a104-2e03c7317adf,,,215.850,161.171,0.0000047449
117,exp1-java-arm,warmup,1777022553.6668632,1777022553.928415,261.5518569946289,200,ae56b07f-9e8b-4ff0-856b-315aea3d3edf,,,226.220,164.032,0.0000049865
118,exp1-java-arm,warmup,1777022553.716228,1777022553.950528,234.299898147583,200,318ad12d-e25d-4dbc-97d8-4351d723cddb,,,201.050,166.893,0.0000044373
43,exp1-java-arm,warmup,1777022549.965409,1777022553.9806788,4015.2697563171387,200,5522eecb-8beb-4ecb-bb94-11b934a5d6aa,,,219.750,162.125,0.0000048327
119,exp1-java-arm,warmup,1777022553.766807,1777022554.038767,271.9600200653076,200,18b3998c-514a-4c86-add8-10f542907259,,,239.310,164.032,0.0000052721
120,exp1-java-arm,warmup,1777022553.8169851,1777022554.071599,254.61387634277344,200,2b60c580-9835-4dc7-9ace-ce5284cd53ca,,,218.460,165.939,0.0000048108
122,exp1-java-arm,warmup,1777022553.917032,1777022554.158838,241.8060302734375,200,99119873-2613-41d8-927b-a89acf364ded,,,205.530,164.986,0.0000045252
121,exp1-java-arm,warmup,1777022553.86693,1777022554.169464,302.5341033935547,200,89bab1f7-1a65-4190-994a-86c98c105403,,,266.270,164.032,0.0000058652
123,exp1-java-arm,warmup,1777022553.967075,1777022554.2329931,265.9180164337158,200,1d60b5de-0ad3-477d-b1f9-ae81d5449b29,,,228.390,162.125,0.0000050304
124,exp1-java-arm,warmup,1777022554.0171058,1777022554.261068,243.96228790283203,200,b1d6816a-68cf-4aab-96d1-59bb6d5a0ab9,,,205.720,164.032,0.0000045252
125,exp1-java-arm,warmup,1777022554.066657,1777022554.309067,242.40994453430176,200,9e02b386-e6fb-4df0-b401-2e6ac780f464,,,204.820,166.893,0.0000045032
97,exp1-java-arm,warmup,1777022552.665038,1777022554.311219,1646.1808681488037,200,3c5f44a1-798b-4a4e-b4e7-af26f240c9e1,,,207.910,165.939,0.0000045691
126,exp1-java-arm,warmup,1777022554.116556,1777022554.355843,239.2871379852295,200,3911e5a3-cb33-46cc-9d7d-66e10619f37b,,,204.050,161.171,0.0000045032
127,exp1-java-arm,warmup,1777022554.1664262,1777022554.427288,260.861873626709,200,440eb72b-782d-482a-8fa4-2abaf898f14c,,,228.330,164.986,0.0000050304
40,exp1-java-arm,warmup,1777022549.815391,1777022554.4496481,4634.257078170776,200,ca2983f2-83a3-424d-abda-4cde5227a707,,,265.420,164.032,0.0000058432
128,exp1-java-arm,warmup,1777022554.217207,1777022554.47734,260.1330280303955,200,73ed82c8-7908-44d2-a7ea-4cfb575174d4,,,224.150,162.125,0.0000049426
129,exp1-java-arm,warmup,1777022554.265866,1777022554.512352,246.48594856262207,200,8859d51a-07e8-42b1-aab8-64a29171d838,,,217.160,164.986,0.0000047888
130,exp1-java-arm,warmup,1777022554.315828,1777022554.562405,246.57702445983887,200,664ba064-0f5b-4c92-a0e3-69c4fb2eb608,,,210.340,165.939,0.0000046350
131,exp1-java-arm,warmup,1777022554.3670452,1777022554.635531,268.48578453063965,200,58533dcd-c132-431f-951f-a8ee76fa99bb,,,233.900,161.171,0.0000051403
132,exp1-java-arm,warmup,1777022554.416925,1777022554.680032,263.1070613861084,200,b3b3f032-a4e9-48cf-832b-5fa4d2e7f8b6,,,222.770,164.986,0.0000048986
133,exp1-java-arm,warmup,1777022554.4671402,1777022554.706636,239.49575424194336,200,2a86c78d-187f-4353-b1f9-3ec7ac073fb4,,,203.900,162.125,0.0000044812
134,exp1-java-arm,warmup,1777022554.515638,1777022554.760399,244.76099014282227,200,1f2d4ed6-7c96-45f3-a880-e86b77a453a8,,,205.910,164.986,0.0000045252
